corpus,book_n,letter_n,sender,recipient,date_when,year,dateline
ad_familiares,1,1,,,-0056,-56.0,Scr. Romae Id. Ian. a. u. c. 698 (a. Chr. 56) .
ad_familiares,1,2,M. CICERO,P. LENTVLO PROCOS,,,Scr. Romae a. d. xvi Kal. Febr. a. 698 (56).
ad_familiares,1,3,M. CICERO,P. LENTVLO PROCOS,-0056,-56.0,Scr. Romae medio mense Ian. a. 698 (56) .
ad_familiares,1,4,M. CICERO,P. LENTVLO PROCOS,,,Scr. Romae circiter xv Kal. Febr. a. 698 (56).
ad_familiares,1,5a,M. CICERO,P. LENTVLO PROCOS,-0056,-56.0,Scr. Romae circiter Non. Febr. a. 698 (56) .
ad_familiares,1,5b,M. CICERO,P. LENTVLO PROCOS,,,Scr. Romae paulo post vi Id. Febr. a. 698 (56).
ad_familiares,1,6,M. CICERO,P. LENTVLO PROCOS,-0056,-56.0,"Scr. Romae mense ut videtur, Mart. a. 698 (56) ."
ad_familiares,1,7,M. CICERO,P. LENTVLO PROCOS,-0056,-56.0,Scr. Romae exeunte mense Quint. a. 698 (56) .
ad_familiares,1,8,M. CICERO,P. LENTVLO PROCOS,-0055,-55.0,Scr. Romae mense Ian. a. 699 (55) .
ad_familiares,1,9,M. CICERO,LENTVLO IMP,-0054,-54.0,Scr. Romae mense Dec. a. 700 (54) .
ad_familiares,1,10,M. CICERO,L. VALERIO IVRICCONSVLTO,-0054,-54.0,Scr. Romae ex a. 700 (54) .
ad_familiares,2,1,M. CICERO,CVRIONI,-0053,-53.0,Scr. Romae a. 701 (53) .
ad_familiares,2,2,M. CICERO,C. CVRIONI,-0053,-53.0,Scr. Romae a. 701 (53) .
ad_familiares,2,3,M. CICERO,C. CVRIONI,-0053,-53.0,Scr. Romae a. 701 (53) .
ad_familiares,2,4,CICERO,C. CVRIONI,-0053,-53.0,Scr. Romae a. 701 (53) .
ad_familiares,2,5,CICERO,C. CVRONI,-0053,-53.0,Scr. Romae a. 701 (53) .
ad_familiares,2,6,M. CICERO,C. CVRIONI,-0053,-53.0,Scr. Romae a. 701 (53) .
ad_familiares,2,7,M. CICERO IMP.,C. CVRIONI TR. PL,,,Scr. in castris ad Pindenessum a d. xiv K. Ianuar. a. 703 (51).
ad_familiares,2,8,M. CICERO PROCOS.,M. CAELIO,,,Scr. Athenis prid. Non. Quint. 0.703 (51).
ad_familiares,2,9,M. CICERO PROCOS.,M. CAELIO AEDILI CVR. DESIGNATO,-0051,-51.0,Scr. in castris ad Pindenissum vel ex m. Oct. vel in. Nov. a. 703 (51) .
ad_familiares,2,10,M. CICERO IMP.,M. CAELIO AEDILI CVRVLI DESIGNATO,,,Scr. in castris ad Pindenissum a. d. xvii K. Decembr. a. 703 (51).
ad_familiares,2,11,M.,CICERO,,,Scr. Laudiceae prid. Non. Apr. a. 704 (50).
ad_familiares,2,12,M. CICERO IMP.,M CAELIO AEDILI CVRVLI,,,Scr. in castris in Cilicia paulo ante vi K. Quint. a. 704 (50).
ad_familiares,2,13,M. CICERO IMP.,M. CAELIO AEDILI CVRVLI,-0050,-50.0,Scr. Laudiceae inter K. et Non. Maias a. 704 (50) .
ad_familiares,2,14,M. CICERO IMP.,M CAELIO AEDILI CVRVLI,-0050,-50.0,Scr. Laudiceae m. Febr. a. 704 (50) .
ad_familiares,2,15,M. CICERO IMP.,M. CAELIO AEDILI CVRVLI,,,Scr. Sidae iii aut prid. Non. Sext. a. 704 (50).
ad_familiares,2,16,M. CICERO IMP.,M. CAELIO,,,Scr. in Cumano iv Non. Mai. a. 705 (49).
ad_familiares,2,17,M. CICERO IMR,†CANINI SALVSTIO PROQ,,,"Scr. Tarsi a. d. xvi K. Sext. , vel paulo post a. 704 (50)."
ad_familiares,2,18,M. CICERO IMP.,Q THERMO PROPR,-0050,-50.0,Scr. Laudiceae in. m. Maio a. 704 (50) .
ad_familiares,2,19,M. TVLLIVS M. F. M. N. CICERO IMP.,C. COELIO L. F. C. N. CALDO Q,,,Scr. in castris in Cilicia a. d. x K. Quint. a. 704 (50).
ad_familiares,3,1,CICERO APPIO IMP.,,-0053,-53.0,Scr. Romae vel ex. a. 701 (53) vel in. 702 (52).
ad_familiares,3,2,M. CICERO PROCOS.,APPIO PVLCHRO IMP,-0051,-51.0,Scr. Romae circ. m. Mart. a. 703 (51) .
